ID,EarthquakeName,Starttime,Mw,HypLat,HypLon,Etype,Depth,Station,StaLat,StaLon,Rhyp,Repi,Rrup,Rjb,Vs30,Az
0,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,VALP06R,-33.043,-71.594,108.7517803,101.1742447,35.74071936,0,239,0
1,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,VALP10S,-33.0375,-71.56722222,109.5842882,102.074345,36.53832637,0,587,0
2,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,VALP02S,-32.55333333,-71.45888889,161.3706746,156.6601611,39.24326316,8.316939967,641,0
3,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,VALP04S,-32.84444444,-70.94222222,147.1863427,141.9048007,66.23457191,38.94826908,270,0
4,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,MAUL06S,-34.95805556,-72.18333333,126.3339377,119.9847195,46.92020897,41.5521787,632,0
5,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,RANC03S,-34.3904,-72.0033,68.95127913,55.8368436,26.78477098,0,613,0
6,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,VALP08R,-33.61583333,-71.62083333,55.58137235,37.97415251,37.14592639,8.59220905,316,0
7,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,RANC01S,-33.94194444,-71.73694444,40.78538931,2.64625075,32.86071259,0,108,0
8,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,SERE02R,-31.6358,-71.1694,263.8933308,261.5932207,105.5857772,97.69465012,502,0
9,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,MAUL04S,-35.32975,-72.41155,170.4205421,166.0259572,86.12343007,84.33178685,195,0
10,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,MAUL02S,-35.96745,-72.321325,233.4956162,230.6732447,155.3550027,154.0692634,388,0
11,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,VALP05S,-33.19333333,-71.6975,93.03815066,83.93346534,31.68416917,8.181851297,570,0
12,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,VALP07S,-33.033333,-71.583333,109.8391166,102.3496517,35.92244183,0,242,0
13,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,VALP07R,-33.034629,-71.595624,109.5910179,102.0816261,35.55536198,0,684,0
14,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,VALP11S,-33.01944444,-71.55694444,111.5416742,104.1864149,36.69648496,0,382,0
15,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,MAUL05S,-35.0099,-71.9303,125.6922413,119.3046538,56.89818129,52.59342332,533,0
16,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,RANC02S,-34.58638889,-70.98305556,105.1709279,97.28873769,98.76672196,95.52853491,666,0
17,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,STGO01S,-33.686676,-71.213973,67.81984937,54.42394889,58.77105528,39.12270181,481,0
18,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,VALP13S,-32.751008,-71.482909,140.2514099,134.6504606,38.69206336,6.757302333,219,0
19,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,MAUL03S,-35.69388889,-71.41972222,198.8520824,195.2762189,142.8502634,141.4038163,354,0
20,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,MAUL03R,-35.429877,-71.664912,168.6747644,164.2220231,107.1578141,105.0724313,537,0
21,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,VALP01S,-32.45444444,-71.23333333,175.9361426,171.7195814,49.05205028,23.05413005,428,0
22,19850303_7.9Mw_33.95S_71.71W_40.7KM,1985-03-03 00:00:00.000000,7.9,-33.95,-71.71,interface,40.7,STGO03S,-33.44416667,-70.645,120.293659,113.5637127,86.17717887,65.95200579,412,0
