B      : 8        # foundation width
L      : 14       # foundation length
Df     : 1.5      # foundation embedment depth
Q      : 50 0.2   # Foundation bearing pressure q (kPa) and coefficient of variation covQ and number of percentiles
type   : Masonry  # building type (masonty,steel, timber, reinforced concrete)
wt     : 2        # Water table depth

# Soil Parameters (for Bullock et al. 2018)
LPC   : Yes      # Low permeability cap present above top susceptible layer?    
th1   : 2        # Non-susceptible crust thickness
th2   : 6        # Maximum continuous thickness of susceptible material in top B
N1    : 1        # Number of susceptible layers in top B    
N2    : 2        # Number of non-susceptible layers in top B
meth  : CPT      # Soil profile testing method
N160  : 9   0   0   0   0   0   0   0   0   0
qc1N  : nan nan nan nan nan nan nan nan nan nan
thick : 6   0   0   0   0   0   0   0   0   0
d2mat : 3.5 0   0   0   0   0   0   0   0   0

# CPT LOG (For Macedo, Bray 2017)
Depth qc fs u2
1.7 3.20 0.12 0.00
1.71 4.06 0.09 0.00
1.72 6.13 0.04 0.00
1.73 7.60 0.01 0.00
1.74 8.88 0.01 0.00
1.75 7.93 0.01 0.00
1.76 7.50 0.01 0.00
1.77 7.43 0.01 0.00
1.78 7.36 0.01 0.00
1.79 7.29 0.01 0.00
1.8 7.52 0.01 0.00
1.81 7.67 0.01 0.00
1.82 8.16 0.01 0.00
1.83 7.98 0.01 0.00
1.84 7.59 0.02 0.00
1.85 7.56 0.02 0.00
1.86 7.54 0.02 0.00
1.87 7.51 0.03 0.00
1.88 7.30 0.01 0.00
1.89 7.14 0.01 0.00
1.9 7.67 0.01 0.00
1.91 8.27 0.01 0.00
1.92 9.74 0.01 0.00
1.93 10.88 0.01 0.00
1.94 11.57 0.02 0.00
1.95 12.24 0.02 0.00
1.96 11.88 0.02 0.00
1.97 12.24 0.02 0.00
1.98 12.26 0.02 0.00
1.99 13.09 0.04 0.00
2 13.43 0.04 0.00
2.01 10.77 0.04 0.00
2.02 10.10 0.04 0.00
2.03 9.43 0.06 0.00
2.04 9.34 0.07 0.00
2.05 9.25 0.07 0.00
2.06 9.16 0.06 0.00
2.07 8.84 0.05 0.00
2.08 8.20 0.04 0.00
2.09 8.12 0.03 0.00
2.1 8.05 0.03 0.00
2.11 7.97 0.02 0.00
2.12 8.16 0.01 0.00
2.13 8.21 0.01 0.00
2.14 8.32 0.01 0.00
2.15 8.48 0.01 0.00
2.16 7.11 0.04 0.00
2.17 6.30 0.04 0.00
2.18 6.13 0.05 0.00
2.19 6.08 0.06 0.00
2.2 6.22 0.07 0.00
2.21 6.47 0.12 0.00
2.22 5.72 0.10 0.00
2.23 5.11 0.10 0.00
2.24 4.92 0.10 0.00
2.25 4.71 0.10 0.00
2.26 5.32 0.10 0.00
2.27 5.73 0.12 0.00
2.28 5.75 0.14 0.00
2.29 5.66 0.13 0.00
2.3 6.84 0.13 0.00
2.31 7.36 0.13 0.00
2.32 7.49 0.11 0.00
2.33 5.87 0.10 0.00
2.34 4.82 0.10 0.00
2.35 5.69 0.10 0.00
2.36 6.56 0.10 0.00
2.37 7.43 0.10 0.00
2.38 10.01 0.12 0.00
2.39 12.88 0.16 0.00
2.4 14.36 0.27 0.00
2.41 14.69 0.32 0.00
2.42 11.98 0.39 0.00
2.43 11.28 0.44 0.00
2.44 10.23 0.45 0.00
